route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1-U1-G-016-1,,U1,Olympia-Einkaufszentrum - Hauptbahnhof - Sendlinger Tor - Mangfallplatz,U-Bahn,402,,
1-U1-G-016-11,,U1,Olympia-Einkaufszentrum - Hauptbahnhof - Sendlinger Tor - Mangfallplatz,U-Bahn,402,,
1-U1-G-016-12,,U1,Olympia-Einkaufszentrum - Hauptbahnhof - Sendlinger Tor - Mangfallplatz,U-Bahn,402,,
1-U2-G-016-1,,U2,Feldmoching - Scheidplatz - Hauptbahnhof - Sendlinger Tor - Innsbrucker Ring - Messestadt Ost,U-Bahn,402,,
1-U2-G-016-11,,U2,Feldmoching - Scheidplatz - Hauptbahnhof - Sendlinger Tor - Innsbrucker Ring - Messestadt Ost,U-Bahn,402,,
1-U2-G-016-12,,U2,Feldmoching - Scheidplatz - Hauptbahnhof - Sendlinger Tor - Innsbrucker Ring - Messestadt Ost,U-Bahn,402,,
1-U3-G-016-1,,U3,Moosach - Scheidplatz - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Fürstenried West,U-Bahn,402,,
1-U3-G-016-11,,U3,Moosach - Scheidplatz - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Fürstenried West,U-Bahn,402,,
1-U3-G-016-12,,U3,Moosach - Scheidplatz - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Fürstenried West,U-Bahn,402,,
1-U3-G-016-13,,U3,Moosach - Scheidplatz - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Fürstenried West,U-Bahn,402,,
1-U4-G-016-1,,U4,Westendstraße - Hauptbahnhof - Odeonsplatz - Arabellapark,U-Bahn,402,,
1-U4-G-016-11,,U4,Westendstraße - Hauptbahnhof - Odeonsplatz - Arabellapark,U-Bahn,402,,
1-U4-G-016-12,,U4,Westendstraße - Hauptbahnhof - Odeonsplatz - Arabellapark,U-Bahn,402,,
1-U5-G-016-1,,U5,Laimer Platz - Hauptbahnhof - Odeonsplatz - Innsbrucker Ring - Neuperlach Süd,U-Bahn,402,,
1-U5-G-016-11,,U5,Laimer Platz - Hauptbahnhof - Odeonsplatz - Innsbrucker Ring - Neuperlach Süd,U-Bahn,402,,
1-U5-G-016-12,,U5,Laimer Platz - Hauptbahnhof - Odeonsplatz - Innsbrucker Ring - Neuperlach Süd,U-Bahn,402,,
1-U6-G-016-1,,U6,Garching-Forschungszentrum - Fröttmaning - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Harras - Klinikum Großhadern,U-Bahn,402,,
1-U6-G-016-12,,U6,Garching-Forschungszentrum - Fröttmaning - Münchner Freiheit - Odeonsplatz - Sendlinger Tor - Harras - Klinikum Großhadern,U-Bahn,402,,
